resource	entitiesCount	entitiesFound	entitiesRatio	entitiesPValue	entitiesFDR	interactorsCount	interactorsFound	interactorsRatio	entitiesAndInteractorsCount	entitiesAndInteractorsFound	reactionsCount	reactionsFound	reactionsRatio	path	entities	glycoPath	ctype
TOTAL	104	2	0.0070647374499015	0.00216289981889994	0.0410950965590989	502	0	0.0265959877530503	582	2	59	12	0.00445989870738529	Circadian Clock	RORA;RORA	sulfated_glycans	ACC
TOTAL	216	2	0.0146729162421031	0.00895861813394139	0.0806275632054725	153	0	0.0163140337248092	357	2	47	1	0.00355280066520523	Interleukin-4 and Interleukin-13 signaling	RORA;RORA	sulfated_glycans	ACC
TOTAL	486	8	0.033014061544732	0.000429425938953898	0.0188947413139715	1758	0	0.0966960654389252	2116	8	259	10	0.0195781994103863	Transcriptional Regulation by TP53	E2F7;BRCA1;FANCD2;BRCA1;FANCD2;E2F7	GPI_Anchor	BRCA_1
TOTAL	46	3	0.00312478771822566	0.00070887255218699	0.0205573040134227	386	0	0.0185989123977517	407	3	33	7	0.00249451961599516	Transcriptional Regulation by E2F6	BRCA1;MAX;BRCA1	GPI_Anchor	BRCA_1
TOTAL	20	2	0.00135860335575029	0.00261286020810125	0.0574829245782276	117	0	0.00589498697619156	129	2	17	6	0.00128505555975508	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	E2F7;E2F7	GPI_Anchor	BRCA_1
TOTAL	2	1	0.000135860335575029	0.00744497395476018	0.0893396874571222	71	0	0.0032445277155783	71	1	2	2	0.00015118300703001	Diseases of DNA Double-Strand Break Repair	BRCA1	GPI_Anchor	BRCA_1
TOTAL	2	1	0.000135860335575029	0.00744497395476018	0.0893396874571222	45	0	0.00205639080564822	45	1	1	1	7.55915035150049e-05	Defective DNA double strand break response due to BARD1 loss of function	BRCA1	GPI_Anchor	BRCA_1
TOTAL	2	1	0.000135860335575029	0.00744497395476018	0.0893396874571222	27	0	0.00127953205684778	28	1	1	1	7.55915035150049e-05	Defective DNA double strand break response due to BRCA1 loss of function	BRCA1	GPI_Anchor	BRCA_1
TOTAL	216	4	0.0146729162421031	2.08794184548555e-05	0.000668141390555377	153	0	0.0163140337248092	357	4	47	2	0.00355280066520523	Interleukin-4 and Interleukin-13 signaling	IRF4;IRF4;FOXO1;FOXO1	sulfated_glycans	BRCA_1
TOTAL	647	4	0.0439508185585218	0.00138930087420785	0.0222288139873257	2096	0	0.116071836585477	2540	4	493	2	0.0372666112328974	Signaling by Interleukins	IRF4;IRF4;FOXO1;FOXO1	sulfated_glycans	BRCA_1
TOTAL	108	2	0.00733645812105156	0.00338284929815658	0.0338284929815658	446	0	0.0241740163597313	529	2	18	3	0.00136064706327009	Transcriptional regulation of white adipocyte differentiation	EBF1;EBF1	sulfated_glycans	BRCA_1
TOTAL	6	1	0.000407581006725087	0.00488002289258771	0.0352915229474211	11	0	0.000731161175341589	16	1	2	2	0.00015118300703001	AKT-mediated inactivation of FOXO1A	FOXO1	sulfated_glycans	BRCA_1
TOTAL	1108	4	0.075266625908566	0.00971369679222112	0.0352915229474211	2824	0	0.165288123200658	3617	4	687	6	0.0519313629148084	Cytokine Signaling in Immune system	IRF4;IRF4;FOXO1;FOXO1	sulfated_glycans	BRCA_1
TOTAL	12	1	0.000815162013450173	0.00973820682856441	0.0352915229474211	38	0	0.00223918109948362	49	1	4	1	0.00030236601406002	AKT phosphorylates targets in the nucleus	FOXO1	sulfated_glycans	BRCA_1
TOTAL	191	2	0.0129746620474153	0.0101904641236754	0.0352915229474211	207	0	0.0176849609285747	387	2	22	2	0.00166301307733011	Interferon alpha/beta signaling	IRF4;IRF4	sulfated_glycans	BRCA_1
